Datetime,Open,High,Low,Close,Volume
2023-08-20 12:15:00,1673.99,1674.16,1672.77,1672.78,273.57372
2023-08-20 12:30:00,1672.78,1677.0,1672.77,1675.8,279.60117
2023-08-20 12:45:00,1675.8,1677.62,1675.08,1676.37,333.76357
2023-08-20 13:00:00,1676.37,1678.2,1676.23,1676.48,129.42619
2023-08-20 13:15:00,1676.48,1676.48,1675.03,1675.4,180.5642
2023-08-20 13:30:00,1675.4,1679.58,1675.4,1676.91,368.69347
2023-08-20 13:45:00,1676.91,1677.49,1674.42,1674.94,337.76966
2023-08-20 14:00:00,1674.94,1676.2,1674.42,1674.95,193.62539
2023-08-20 14:15:00,1674.95,1675.47,1672.85,1674.93,249.46978
2023-08-20 14:30:00,1674.93,1675.24,1671.62,1673.15,349.36127
2023-08-20 14:45:00,1673.15,1674.04,1666.78,1667.9,1224.87195
2023-08-20 15:00:00,1667.9,1670.12,1664.4,1669.6,1082.3189
2023-08-20 15:15:00,1669.6,1673.8,1667.82,1669.81,589.26889
2023-08-20 15:30:00,1669.81,1671.8,1669.36,1669.37,218.06628
2023-08-20 15:45:00,1669.37,1671.12,1668.26,1671.12,197.68369
2023-08-20 16:00:00,1671.12,1672.0,1670.0,1670.01,95.83336
2023-08-20 16:15:00,1670.01,1670.6,1667.85,1670.6,151.5794
2023-08-20 16:30:00,1670.6,1671.0,1668.42,1668.75,284.24686
2023-08-20 16:45:00,1668.75,1669.2,1665.72,1668.74,278.94323
2023-08-20 17:00:00,1668.74,1670.58,1667.11,1670.47,348.04949
2023-08-20 17:15:00,1670.47,1671.79,1669.2,1671.79,124.69372
2023-08-20 17:30:00,1671.79,1675.88,1670.6,1675.88,258.43625
2023-08-20 17:45:00,1675.88,1679.58,1673.8,1674.75,424.75265
2023-08-20 18:00:00,1674.75,1676.39,1674.26,1676.14,109.20136
2023-08-20 18:15:00,1676.14,1677.59,1675.63,1677.23,130.0774
2023-08-20 18:30:00,1677.23,1679.01,1676.65,1677.61,446.03692
2023-08-20 18:45:00,1677.61,1678.59,1675.08,1676.0,185.74148
2023-08-20 19:00:00,1676.0,1676.9,1675.85,1676.9,112.52138
2023-08-20 19:15:00,1676.9,1678.29,1676.9,1678.07,184.87052
2023-08-20 19:30:00,1678.07,1678.53,1676.36,1676.62,151.56364
2023-08-20 19:45:00,1676.62,1678.39,1675.25,1678.19,231.68303
2023-08-20 20:00:00,1678.19,1688.05,1678.19,1687.58,1959.1317
2023-08-20 20:15:00,1687.58,1689.41,1684.85,1685.81,930.85987
2023-08-20 20:30:00,1685.81,1693.0,1683.82,1692.61,1105.29534
2023-08-20 20:45:00,1692.61,1694.55,1688.4,1689.02,616.96976
2023-08-20 21:00:00,1689.02,1689.79,1684.04,1684.96,314.70526
2023-08-20 21:15:00,1684.96,1685.95,1683.81,1685.11,258.42591
2023-08-20 21:30:00,1685.11,1685.11,1681.27,1683.53,370.62613
2023-08-20 21:45:00,1683.53,1683.78,1681.43,1682.4,143.97912
2023-08-20 22:00:00,1682.4,1684.2,1682.4,1682.6,308.80563
2023-08-20 22:15:00,1682.6,1683.4,1681.8,1683.4,87.17891
2023-08-20 22:30:00,1683.4,1685.49,1681.81,1682.11,338.65338
2023-08-20 22:45:00,1682.11,1684.1,1682.1,1683.92,87.02382
2023-08-20 23:00:00,1683.92,1683.93,1680.54,1680.96,327.4064
2023-08-20 23:15:00,1680.96,1682.76,1680.46,1682.76,312.80902
2023-08-20 23:30:00,1682.76,1685.26,1681.81,1685.2,238.34731
2023-08-20 23:45:00,1685.2,1685.57,1683.21,1685.2,252.93049
2023-08-21 00:00:00,1685.2,1685.39,1679.94,1680.02,602.29604
2023-08-21 00:15:00,1680.02,1681.8,1679.45,1680.55,159.94785
2023-08-21 00:30:00,1680.55,1681.8,1679.5,1681.8,134.28937
2023-08-21 00:45:00,1681.8,1683.25,1680.61,1682.79,476.70699
2023-08-21 01:00:00,1682.79,1684.78,1679.99,1680.6,1094.46557
2023-08-21 01:15:00,1680.6,1685.77,1679.22,1684.21,862.00514
2023-08-21 01:30:00,1684.21,1684.21,1681.2,1683.57,278.15034
2023-08-21 01:45:00,1683.57,1683.58,1681.2,1683.37,219.11572
2023-08-21 02:00:00,1683.37,1684.77,1682.25,1684.18,217.91761
2023-08-21 02:15:00,1684.18,1684.18,1680.61,1681.14,315.4709
